-0:13 | (Member (2 months)) シキマリ: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
57:51 | (New member) なつめろす: :rainbow::rainbow::rainbow:
57:51 | JaneNinth: you did well today alban
57:52 | (New member) 【】くるみ【】: :rainbow::rainbow::rainbow:
57:52 | いち: :rainbow::rainbow::rainbow:
57:52 | Y C: :rainbow::rainbow::rainbow::rainbow::rainbow:
57:52 | Tiffy 🎭♦️: u must be my angel
57:52 | (New member) Louis: :rainbow::rainbow::rainbow:
57:52 | (Member (2 months)) Arella : □□□
57:52 | (New member) Sowawu: :_AlbanCry::_AlbanCry::_AlbanCry::_AlbanCry::_AlbanCry::_AlbanCry::_AlbanCry::_AlbanCry:
57:52 | LY: thank you, too
57:53 | (New member) Piyomoぴよも: :rainbow::rainbow::rainbow:
57:53 | Tabby: :rainbow::rainbow::rainbow:
57:53 | Yu _ K: :rainbow::rainbow::rainbow::rainbow::rainbow:
57:53 | Xin🐑: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
57:53 | Xiashi: :orange_heart::orange_heart::orange_heart:
57:54 | (New member) -ririmaru-: :rainbow::rainbow:
57:54 | Daydream: thank youuu!
57:54 | (Member (1 month)) ley: :rainbow::rainbow::rainbow::rainbow:
57:54 | Common Kuma: :rainbow::rainbow::rainbow:
57:54 | kiwi: :rainbow::rainbow::rainbow:
57:54 | (Member (1 month)) Jo jr: □□□
57:54 | remedy: :rainbow::rainbow:
57:55 | ジュディ Judy: :orange_heart::orange_heart::orange_heart:
57:55 | (New member) てぴ: かわいいかわいい
57:55 | mxcitaro18m _yt: TENCHOUUUU
57:56 | (Member (1 month)) Anita Chen: □□□
57:56 | (Member (2 months)) Mitchie Soren: i looooooove tenchou REAL
57:56 | the other axel: :rainbow::rainbow::rainbow:
57:56 | ホタル Hotaru: wow!! nice:rainbow:
57:57 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
57:57 | (Member (1 month)) RIN: :rainbow::rainbow::rainbow:
57:57 | Elly Tseng: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
57:57 | jullissa: So cute
57:57 | Miaaaaaaa: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
57:57 | Kaji Kaneshiro: pls do, wanna see Ace suffer 
57:57 | PL Kazo: :rainbow::rainbow::rainbow:
57:57 | esthxr_: :rainbow::rainbow::rainbow::rainbow:
57:57 | (Member (2 months)) Sylvia Green: :rainbow::rainbow::rainbow:
57:58 | Chachaiii: CUTEEE
57:58 | 京: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
57:58 | Ninaღ にな: Laugh so cuuute TSKR
57:58 | Sinderella: You're good
57:58 | rai ☆: :rainbow::rainbow::rainbow::rainbow:
57:58 | (New member) 月島: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
57:59 | mi ho: お腹の音ってことか！かわいい:orange_heart::orange_heart:
57:59 | (Member (2 months)) Lily(MarshmallowBunny)🐇: :rainbow::rainbow::rainbow:
58:00 | (Member (2 months)) McKats: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:00 | 楽楽: nya
58:00 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
58:00 | Gina Eleven: Thank you!
58:01 | LuisaB: headphones listos!!
58:01 | syacchan【しゃっちゃん】: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
58:01 | (New member) てぴ: :rainbow::rainbow::rainbow::rainbow:
58:01 | Walking Glasses: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:01 | (Member (2 months)) Artistic Being: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:02 | あじさい: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:02 | (Member (2 months)) まめた: :rainbow::rainbow::rainbow:
58:02 | 向日葵🌻Daisy: thank youuuuuu
58:02 | JaneNinth: this is really good stream
58:03 | (Member (2 months)) きりたん🐣Kiri: :rainbow::rainbow::rainbow::rainbow:
58:03 | kookieruu 🎭: :rainbow::rainbow::rainbow:
58:03 | (Member (2 months)) yammie ヤミー: Love uuuuuu
58:03 | (New member) NongTen: :rainbow::rainbow::rainbow::rainbow:
58:03 | (Member (2 months)) さき: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:03 | (New member) Alceowww: :rainbow::rainbow::rainbow:
58:03 | いかもっち: :rainbow:
58:04 | (New member) Sowawu: PLS EATTTTT AFTER THIS SIRR!!!
58:04 | Rieya: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:04 | (Member (1 month)) Miu: :rainbow::rainbow::rainbow:
58:05 | (Member (1 month)) シズsizu: □□
58:05 | 陳右婷: WOW hoho :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
58:05 | ひすい: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:05 | 京: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:05 | ashley🥟: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:06 | 思雨[シウ]: :rainbow::rainbow::rainbow:
58:06 | mi ho: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:06 | みみちゃん。: :rainbow::rainbow::rainbow:
58:06 | (Member (2 months)) Ryou: :_AlbanGlowstick::_AlbanGlowstick::_AlbanGlowstick:
58:06 | (Member (2 months)) Teresa: :rainbow::rainbow::rainbow:
58:06 | (New member) Cuddle: :rainbow::rainbow::rainbow::rainbow:
58:06 | Starry: :rainbow::rainbow::rainbow:
58:06 | PL Kazo: :rainbow::rainbow::rainbow:
58:07 | _ことね_: :rainbow::rainbow::rainbow::rainbow:
58:07 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
58:07 | Ninaღ にな: :rainbow::rainbow::rainbow:
58:07 | (Member (2 months)) machi: :rainbow::rainbow::rainbow::rainbow:
58:07 | (New member) Vevi: You are so lovely today 
58:07 | (Member (1 month)) だむおの世話係: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:07 | Gina Eleven: :orange_heart::orange_heart::orange_heart:
58:07 | Zelera Winters: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:08 | 瑛/あきら: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:08 | ねむ_: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:08 | (Member (1 month)) MASUMI: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:08 | 向日葵🌻Daisy: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
58:08 | ハチコのきまぐれ: 切らなくていいのになー
58:08 | あや: :rainbow::rainbow::rainbow::rainbow:
58:08 | 虛凌XuLing: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:09 | Sheng Ting luo: :rainbow::rainbow::rainbow:
58:09 | そらさや: お腹の音だったの？
58:09 | haruno: we looooooooove ASMR
58:10 | Nella: :rainbow::rainbow::rainbow:
58:10 | (Member (1 month)) mapleSakura 🎭: :rainbow::rainbow::rainbow::rainbow:
58:10 | (New member) Minnie: :rainbow:
58:10 | こま: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:10 | Naochan: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:10 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
58:11 | み: まじ助かる
58:11 | Rieya: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:11 | (Member (2 months)) tokimiharu: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:11 | (New member) Beechou: □□□
58:11 | (Member (1 month)) FINA@0307🐈‍⬛: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:12 | (New member) しょこらんぬSyoko-rannu: むしろ、笑ってくれ……そっちの方が心臓に優しい……:smiling_face_with_halo:
58:12 | 京: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:12 | (Member (1 month)) ちーちゃん: こちらそThank you
58:13 | (Member (1 month)) 油花: :rainbow::rainbow::rainbow:
58:13 | (New member) 月島: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:13 | (New member) YUNA chan: てぇてぇ
58:13 | Gina Eleven: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:13 | (New member) Doki: □□□
58:13 | (New member) Alceowww: :rainbow::rainbow::rainbow:
58:13 | sheala_ideya: :virtualhug:
58:15 | (Member (1 month)) Reizo: eating asmr???
58:15 | (New member) NongTen: :rainbow::rainbow::rainbow::rainbow::rainbow:□□□
58:15 | かなちん: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:15 | Common Kuma: Sure
58:15 | (Member (2 months)) Keru: I think that's a great idea. □
58:16 | (Member (2 months)) Ryou: Yes 
58:16 | (Member (2 months)) Misa-chanみさ: :rainbow::rainbow::rainbow:
58:17 | (Member (1 month)) Corn 2.0 🌽: YESSS TOTALLY OK! 
58:17 | 十一: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:17 | yuren [ユレン]: of course!
58:17 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
58:17 | Nayla: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:17 | 岩本公美子: おなかの音きかせてくれてありがとう:orange_heart:
58:17 | LY: more ASMR POOOOG
58:17 | (Member (1 month)) Chrisy: that is perfectly okay!!
58:18 | (Member (2 months)) Mitchie Soren: It’s okay!! Daijoubu!
58:18 | Cirticus Sycamore: thank you tenchou!! the asmr was lovely to listen to
58:18 | syacchan【しゃっちゃん】: yesss
58:18 | JaneNinth: thank you thank you thank you to ^_^
58:18 | (New member) Yumi Yumi: □□□
58:19 | 京: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:19 | ふゆたけ: Its okayyyy
58:19 | 虛凌XuLing: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:19 | (Member (1 month)) mao: :rainbow::rainbow::rainbow:
58:19 | (Member (1 month)) Kana Nixx: :rainbow::rainbow::rainbow:
58:20 | (Member (1 month)) Felica: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:20 | (New member) ミャオ: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:20 | Sinderella: :rainbow::rainbow::rainbow:
58:20 | jullissa: pat pat
58:20 | (New member) Alceowww: :rainbow::rainbow::rainbow:
58:20 | (New member) MiaMia: :rainbow::rainbow::rainbow:
58:21 | BadAkatsukifangirl: that's fine :smiling_face_with_smiling_eyes:
58:21 | (Member (1 month)) JaaJidz: :orange_heart::orange_heart::orange_heart:
58:21 | (New member) にとろ: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:21 | Chachaiii: :knocked_out_face::knocked_out_face:
58:21 | mayura: wooooo:orange_heart::orange_heart::orange_heart:
58:22 | (New member) 煮たまご: :rainbow::rainbow::rainbow::rainbow:
58:22 | (Member (1 month)) Tea [ ティー ] : no worries, you can do supa readings anytime!!
58:22 | ゑ栗鼠Alice🐿🎭: Hungry sound make my day make my life
58:22 | Gingerbread: :rainbow::rainbow::rainbow:
58:23 | はりねこ: :rainbow::rainbow::rainbow::rainbow:
58:23 | Lizix.: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:23 | MR. RIAS: ANYTHING YOU WANT AND LIKE BABE GO FOR IT
58:23 | (New member) Beechou: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:23 | thiccbreadsmilk666: ofc! we’d love more asmr streams
58:23 | 狗拿_浩子: :rainbow: 
58:23 | (Member (2 months)) ichi: whatever you want is always OK!
58:23 | Caitlin: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:23 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
58:23 | Ninaღ にな: Thank you Alban :orange_heart::orange_heart::orange_heart:
58:24 | Snow_羊兒: Cuteeeeeee
58:24 | Sheng Ting luo: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:24 | (Member (1 month)) Maliciousli 🧸: ofc, thats fine!!
58:24 | 慢慢之之Loissy: :orange_heart::orange_heart::orange_heart::orange_heart:
58:25 | み: お腹だったん？
58:25 | sheala_ideya: :rainbow::rainbow::rainbow::rainbow:
58:25 | miwaafts: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:26 | (Member (2 months)) Yuko Chan 🌼 [Alban's clippies]: Its okay!! 
58:26 | nutcha: TSKR
58:26 | (Member (2 months)) McKats: anything you want!! you do what you love well!!
58:27 | (New member) 月島: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:27 | (Member (1 month)) herathenaa: Yes it's fine completely alban!
58:28 | 夏至末音: :orange_heart::orange_heart::orange_heart:
58:28 | (Member (1 month)) sui: □
58:28 | (Member (1 month)) Felica: :rainbow::rainbow::rainbow::rainbow:
58:28 | (Member (2 months)) Lapis: :rainbow::rainbow::rainbow::rainbow:
58:29 | Lynn: proud of u
58:29 | (Member (2 months)) blue cherry: :rainbow::rainbow::rainbow:
58:29 | LuisaB: :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::sparkling_heart::sparkling_heart::sparkling_heart::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:29 | (Member (2 months)) Chloe Senzai: sure aban!
58:29 | (New member) Alceowww: :rainbow::rainbow::rainbow:
58:29 | ran ran: YES OFC
58:30 | 京: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:30 | (Member (1 month)) JaaJidz: □□□
58:30 | (Member (2 months)) Lily(MarshmallowBunny)🐇: □□□
58:31 | (Member (1 month)) ゆうき-yuki: :rainbow::rainbow::rainbow:
58:31 | めい: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:31 | (Member (2 months)) みんとっと: お腹の音聞きたい
58:31 | (New member) しょこらんぬSyoko-rannu: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:32 | (Member (1 month)) Tea [ ティー ] : thank youuuu for concentrating on ASMR and triggers!
58:32 | (Member (2 months)) Sylvia Green: It's totally fine□
58:33 | Elly Tseng: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:33 | (Member (2 months)) Reishi🎭🐾: Yes
58:33 | (Member (2 months)) アイス: THATS TOTALLY OKAIII
58:34 | 瑛/あきら: thx uuuuuuu
58:34 | (Member (1 month)) Yam -ヤム:  :rainbow::rainbow::rainbow:
58:34 | Tiffy 🎭♦️: :rainbow::rainbow::rainbow::rainbow:
58:34 | (Member (2 months)) Phantasm: Absolutely 
58:34 | Gina Eleven: LETS GOOOOOO
58:34 | 岩本公美子: :rainbow::rainbow::rainbow:
58:35 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
58:35 | (New member) てぴ: いきててよかったあ
58:35 | ゑ栗鼠Alice🐿🎭: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:35 | Ninaღ にな: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:35 | (New member) Vevi: :rainbow::rainbow::rainbow:
58:35 | (New member) Reppepmint: I predicted your stomach will growling again soon:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
58:36 | ハチコのきまぐれ: 翻訳TSKR
58:36 | (New member) 🎀 Lyrit 🎀: ITS PERFEEEECT
58:36 | Bue: :rainbow::rainbow::rainbow::rainbow:
58:37 | Yu Ko: :rainbow::rainbow::rainbow::rainbow:
58:38 | (New member) 月島: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:39 | (Member (1 month)) それいけ!!あんまん: :rainbow::rainbow::rainbow:
58:39 | Thy: WE NEED A SERI ABOUT THIS ASMR
58:39 | Aki Lui: AWWWW
58:39 | ドール: :rainbow::rainbow:
58:39 | (New member) szk: :rainbow::rainbow::rainbow:
58:39 | (New member) nyeldei: we LooOOOooOove alban asmr□□□
58:40 | (Member (2 months)) Reishi🎭🐾: Of course
58:40 | Naochan: OFCCCC
58:40 | (Member (1 month)) ナイ: ...?
58:40 | (New member) NongTen: □□ pat pat
58:41 | 藍藍路LonaBlue🐑: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:41 | 虛凌XuLing: :orange_heart::rainbow::orange_heart::rainbow::orange_heart::rainbow::orange_heart::rainbow::rainbow::orange_heart::rainbow:
58:41 | (New member) ねぎねぎ: こっちがTY
58:41 | natcha: how about eating asmr
58:42 | KuroiTenshi : ANYTHING YOU DECIDE ON IT`S PERFECT
58:42 | ジュディ Judy: ありがとう
58:42 | Chachaiii: Mwah
58:42 | Reikyu _: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:43 | (New member) にゃんにゃんこ: □□□
58:43 | karin: :rainbow::rainbow::rainbow:
58:44 | Miaaaaaaa: :face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:
58:44 | Qing: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:44 | Lizix.: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:44 | (Member (2 months)) ごご: ミュートしないでアルバーンの笑い声聴きたい:pleading_face:爆音でも良い
58:44 | d3stinyyz: UWOH
58:45 | wtrrrr: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
58:45 | Plue: You did amazing today Alban thank you so much I love you, please enjoy your breakfast after this uwu:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
58:45 | (Member (1 month)) だむおの世話係: ないすぱです:rainbow::rainbow::rainbow::rainbow:
58:45 | Lunar: thanks ><
58:46 | MR. RIAS: F L U S H G E
58:46 | 京: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:46 | Elly Tseng: omggggggg
58:46 | (Member (2 months)) Mini ⭐️: □□□
58:46 | Rieya: KISSU
58:46 | Sinderella: :face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:
58:46 | (Member (2 months)) Open Open: :rainbow::rainbow::rainbow:
58:46 | (New member) cyan: TSKR
58:46 | めい: :rainbow::rainbow::rainbow::rainbow:
58:46 | (Member (2 months)) Ryou: Mua 
58:47 | (New member) Vevi: Ahhhhhh
58:47 | ran ran: THANK U ALBAN OTSU
58:47 | SHARON YANG: :rainbow::rainbow::rainbow:
58:47 | veljana: TSKR
58:47 | kqx: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:47 | (New member) nyeldei: mWEH
58:47 | syacchan【しゃっちゃん】: mwa mwaa
58:47 | 果汁: :orange_heart:
58:48 | (Member (2 months)) CristalFlower: MORE KISSED LETS GOOO
58:48 | 喵の夜空: :rainbow::rainbow::rainbow::rainbow:
58:48 | み: 生きててよかった
58:48 | (Member (2 months)) Misa-chanみさ: 後でお腹の音を聞き直そう
58:48 | (New member) Hatori羽: yes□□□□□
58:48 | (Member (1 month)) FINA@0307🐈‍⬛: TSKRRRR
58:48 | the other axel: this is really nice alban ilysm :virtualhug::virtualhug:
58:49 | 藍藍路LonaBlue🐑: :rainbow::orange_heart::rainbow::orange_heart::rainbow:
58:49 | KayKay: :revolving_hearts::revolving_hearts::revolving_hearts::revolving_hearts::revolving_hearts::revolving_hearts:
58:49 | (New member) Piyomoぴよも: #AlbanSMR:orange_heart::orange_heart::orange_heart:
58:49 | ジュディ Judy: OMG
58:50 | 狗拿_浩子: Muwah
58:50 | Miguel de Guzman: perfect asmr for doing assignments
58:50 | (New member) Yellish: mua
58:50 | (Member (1 month)) herathenaa: You did great with the triggers!!
58:50 | Gina Eleven: Muah
58:50 | Neoren: anything you want!
58:50 | (Member (2 months)) Lily(MarshmallowBunny)🐇: :kissing_cat::kissing_cat:
58:51 | (Member (2 months)) Teresa: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:51 | iheartheather: CAN TENCHOU LICK THE MIC ???
58:51 | MoNo: ありがとーー！
58:51 | (Member (2 months)) Naga: :_AlbanBlessed::_AlbanBlessed:
58:51 | (Member (2 months)) blue cherry: :_AlbanBlessed::_AlbanBlessed:
58:52 | (New member) Alceowww: :rainbow::rainbow::rainbow::rainbow:
58:52 | (Member (2 months)) みんとっと: リップ音しぬ
58:52 | めい: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
58:52 | ゑ栗鼠Alice🐿🎭: :rainbow::rainbow::orange_heart::orange_heart::rainbow::rainbow::orange_heart::orange_heart::rainbow::rainbow:
58:52 | (Member (2 months)) Keru: 生きててよかった...
58:52 | (New member) Kaenya: mwah :orange_heart:
58:53 | Wonderful: Aww im dead
58:53 | 🥧 Patricia 🎭: :rainbow::rainbow::rainbow:
58:53 | Salfa: TSKR
58:53 | Xiashi: AHHHH NAWWRR :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
58:53 | Silver Jackson: mwah~
58:54 | (Member (1 month)) あやなてやん!: 定期リップ音やめてしぬ
58:54 | (Member (2 months)) mono drama: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
58:54 | PL Kazo: :flushed_face::flushed_face:
58:54 | Akiryu Vel: FLUSHGE :orange_heart::orange_heart::orange_heart:
58:54 | (New member) Snowy_Ghost🎭♦️: :rainbow::rainbow::rainbow::rainbow::rainbow:
58:54 | (Member (1 month)) イロハ: □□□
58:54 | (New member) リーシャ: 泣く
58:54 | Nayla: TSKR
58:54 | 京: うわぁ好きです
58:55 | (Member (2 months)) Arella : OMGGGG
58:55 | (Member (2 months)) まめた: muah:face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:
58:55 | (New member) しょこらんぬSyoko-rannu: あぁぁぁぁぁあぁぁぁぁぁ:smiling_face_with_halo::smiling_face_with_halo:
58:55 | haruno: OMGgggggggggggggg TSKRrrrrrrr
58:56 | LuisaB: :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::pleading_face::pleading_face::pleading_face::rainbow::rainbow::rainbow::rainbow:
58:56 | natcha: :orange_heart::orange_heart::orange_heart:
58:56 | Snow_羊兒: :rainbow::rainbow::rainbow:
58:56 | •°Im_Arel°•: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
58:56 | (New member) nyeldei: □□□
58:56 | (Member (1 month)) ナイ: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
58:57 | 泠泫: thank you uwu
58:57 | (New member) Beechou: □□□
58:57 | ジュディ Judy: TSKRRRR
58:57 | 미야옹: tskr tskr
58:57 | (Member (1 month)) __ shiori: OMG:_AlbanCry::_AlbanCry::_AlbanCry:□□□
58:57 | HIKARI: ありがとう
58:57 | Mochipuri Acri: uhmmm muaaaa
58:58 | Zatch Rhyven Arbiz: :grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes::grinning_face_with_smiling_eyes:
58:58 | Sydney celine: he's so cute
58:58 | coffee 9001: :loudly_crying_face::loudly_crying_face:YOOOOOOOOOOOOOOO
58:58 | ホタル Hotaru: ありがとうほんとに
58:58 | 親子丼 No.49: お腹の音を聞かせないよ！
58:58 | (Member (2 months)) CristalFlower: :rainbow::rainbow::rainbow:
58:59 | Akazukin: thank u for the kisses
58:59 | (Member (1 month)) Kana Nixx: chu chu
58:59 | (New member) SuuMe🌨: less go heaven
58:59 | jullissa: omg TSKR
58:59 | (New member) Alceowww: :rainbow::rainbow::rainbow:
59:00 | (New member) カズラ: こちらこそありがとう
59:00 | Elly Tseng: :face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:
59:00 | Abby chen: awww
59:00 | (New member) YU JING: □□□
59:01 | AyersHaru: TSKRRRRRR
59:01 | みゆこ-miyuko: リップ音えってぃでかわいい🥹
59:01 | Lynn: chuuuuuchuuuu
59:01 | (New member) nyeldei: MWEH
59:01 | 京: :rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow::rainbow:
59:01 | Gina Eleven: Awwwwww
59:01 | Rieya: mwaaa
59:01 | bruh: i love youuuu
59:02 | rai ☆: :orange_heart::orange_heart::orange_heart::orange_heart:
59:02 | (Member (2 months)) Nana.___.‪: TSKRRR
59:02 | 藍藍路LonaBlue🐑: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
59:02 | Kucing Ricella: Mwahh><
59:02 | (New member) Vevi: Omg my heart 
59:03 | (New member) Jae ฅ^•ﻌ•^ฅ: Thank u Alban
59:03 | (Member (2 months)) えいりちゃんEiri-chan: Thank you:double_exclamation_mark:︎:double_exclamation_mark:︎:double_exclamation_mark:︎
59:03 | (Member (2 months)) yammie ヤミー: :rainbow::rainbow::rainbow::rainbow:
59:03 | ran ran: TSKR
59:03 | 奈怜: OMG
59:03 | (New member) Reppepmint: Your stomach growling, It’s cute btw
59:03 | nat naat: muah
59:03 | (New member) SHL: □□□
59:04 | KayKay: MWA MWAAA:growing_heart::growing_heart::growing_heart::growing_heart:
59:04 | (Member (2 months)) roji: chu chu chu
59:04 | (New member) Alceowww: □□□
59:04 | Chloe: TSKR
59:04 | (New member) Beechou: mwah
59:05 | (New member) arisu <3's you ! : can you lick
59:05 | (New member) にゃんにゃんこ: ありがとうっっ
59:05 | ドール: ありがとうAlban ありがとう世界
59:06 | Tiffy 🎭♦️: thank you too
59:06 | (Member (1 month)) Maliciousli 🧸: MWAH MWAH!
59:06 | Nayla: thank you alban!
59:06 | (New member) FREEDOM五条: あああああありがとう:smiling_face_with_halo::orange_heart::orange_heart::orange_heart:
59:06 | Naochan: HIS KISSES ARE THE BESTTT
59:06 | (New member) 千雨🧡🐱ちさめchan: Tskr！！！！！！！！！！
59:07 | (Member (1 month)) Felica: TSKRRR
59:07 | Chachaiii: /blushing
59:07 | (New member) Miiruaa⛅️: aww kitten is kissing my ears? 
59:07 | (New member) kirin🦒kura: :_AlbanMouth::_AlbanMouth::_AlbanMouth:
59:07 | えりな🎭🦊: I need to go to bed ...qwq
59:07 | Silver Jackson: mmmwah~
59:08 | おぢ: :orange_heart::orange_heart::orange_heart::orange_heart:
59:08 | (New member) Yellish: mua！
59:08 | (Member (2 months)) 夜雪 ye xue: □□□
59:08 | (Member (1 month)) Pon Peke: :_AlbanWhat::_AlbanWhat:
59:08 | Peacepeach: mua:orange_heart:
59:09 | Its Acchi: FLUSHDGE
59:09 | Melodi: LOVE YOU.... IT'S REALLY RELAXING :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
59:09 | Lunar: :orange_heart::orange_heart::orange_heart:
59:09 | (New member) lillie 🌱: □□□
59:09 | (Member (1 month)) ALISA🥀🌙: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
59:09 | (Member (2 months)) 🎭 Hirai Aki 🕒: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
59:09 | (Member (1 month)) イロハ: □□□
59:10 | Ninaღ にな: TSKRR 
59:10 | 狗拿_浩子: Muwah muwah 
59:10 | (New member) しおにゃ: だいしゅき……
59:10 | ふゆたけ: The kissessss
59:10 | 美晴: ありがとう(*´³`*) ㄘゅ:two_hearts:
59:11 | (Member (2 months)) Nana.___.‪: mua mua
